"","ssp","drought_stress","insect_risk","disease_risk","photosynhthesis_day","risk_rain","yday_speargrowth","yday_harvest_star","accumulated_chill","frost_risk","diurnal_risk","rainharvest_risk","heatharvest_risk","Tsoil_mean","id"
"historical--historical--2020--2067","historical",0.53,0.22,0,79,0,66,72,90.29,0.1,0.2,0.1,0,17.9496577389531,67
"historical--historical--2020--2068","historical",0.25,0.23,0,88,0,78,84,97.07,0.4,0.7,0,0,18.1048589033579,68
"historical--historical--2020--2069","historical",0.39,0.3,0,89,0.1,69,75,90.73,0,0.5,0.2,0.35,18.0303015688185,69
"historical--historical--2020--2070","historical",0.25,0.4,0,95,0.4,42,54,72.61,0.6,0.4,0.3,0.15,16.618460539029,70
"historical--historical--2020--2071","historical",0.41,0.12,0,87,0.3,50,56,74.81,0.2,0.2,0,0.05,16.7066745680883,71
"historical--historical--2020--2072","historical",0.39,0.2,0,84,0,59,81,86.19,0,0.4,0.2,0,18.2711227387288,72
"historical--historical--2020--2073","historical",0.26,0.2,0,79,0,79,86,89.06,0,0.5,0,0.15,19.302675498818,73
"historical--historical--2020--2074","historical",0.34,0,0,84,0.5,42,48,69.09,1,0.9,0,0,15.6974929755751,74
"historical--historical--2020--2075","historical",0.39,0.1,0,69,0,53,70,81.48,0.2,0.6,0,0.1,17.8860223538515,75
"historical--historical--2020--2076","historical",0.35,0,0,73,0,52,58,77.22,0.7,0.3,0.2,0.25,16.5775465253646,76
"historical--historical--2020--2077","historical",0.35,0.24,0,87,0,63,69,86.46,0.3,0.5,0,0.5,17.7060213830812,77
"historical--historical--2020--2078","historical",0.31,0.17,0,86,0.3,69,75,92.18,0,0.3,0,0,17.8858651786633,78
"historical--historical--2020--2079","historical",0.3,0.12,0,83,0,49,55,76.8,0.2,0.7,0.1,0.35,18.0339854058193,79
"historical--historical--2020--2080","historical",0.34,0,0,82,0,84,90,98.86,0,0.8,0.1,0.25,18.476256859414,80
"historical--historical--2020--2081","historical",0.43,0.11,0,83,0,73,79,92.91,1,0.8,0.1,0,16.8312517676603,81
"historical--historical--2020--2082","historical",0.27,0.16,0,83,0.15,42,78,71.86,0,0.5,0,0,18.9304347945757,82
"historical--historical--2020--2083","historical",0.46,0.13,0,85,0.1,45,86,74.26,0.1,0.8,0.1,0,17.1704147637844,83
"historical--historical--2020--2084","historical",0,0.19,0,80,0.55,99,105,110.57,0,0.4,0,0.15,19.0644809863205,84
"historical--historical--2020--2085","historical",0.05,0.12,0,86,0,103,109,112.87,0,0.3,0,0.3,19.8712892645847,85
"historical--historical--2020--2086","historical",0.12,0.32,0,74,0.3,81,87,98.35,0,0.7,0,0.15,19.277415508204,86
"historical--historical--2020--2087","historical",0.2,0.24,0,79,0,72,83,91.52,0.1,0.4,0.2,0,17.8957155405325,87
"historical--historical--2020--2088","historical",0.18,0.14,0,75,0.5,85,91,102.51,0,0.3,0.1,0.2,18.8483912158353,88
"historical--historical--2020--2089","historical",0.29,0.25,0,71,0.1,99,105,112.27,0,0.1,0.1,0,18.1973233427688,89
"historical--historical--2020--2090","historical",0.22,0.44,0,98,0,83,96,98.01,0,0.1,0.1,0,19.4875712699602,90
"historical--historical--2020--2091","historical",0.42,0.22,0,77,0,80,90,100.46,0.3,0.6,0,0,18.1198647504091,91
"historical--historical--2020--2092","historical",0.24,0,0,100,0,77,83,96.6,0.1,0.2,0.3,0,18.4476001016416,92
"historical--historical--2020--2093","historical",0.37,0.23,0,81,0,59,110,78.92,0,0.5,0.1,0.5,19.2552116817728,93
"historical--historical--2020--2094","historical",0.41,0.39,0,89,0.1,75,81,97.27,0,0.1,0.1,0,19.1685145467463,94
"historical--historical--2020--2095","historical",0.1,0.54,0,102,0.2,50,81,78.47,0.4,0.8,0,0.05,17.1904427850329,95
"historical--historical--2020--2096","historical",0.16,0.2,0,80,0.1,42,48,60.55,0.1,0.3,0,0,16.2794473642033,96
"historical--historical--2020--2097","historical",0.21,0,0,85,0.1,62,87,79.21,0,0.1,0.2,0,17.9152065397496,97
"historical--historical--2020--2098","historical",0.23,0.27,0,82,0.2,58,70,85.7,0.2,0.4,0,0.3,17.8994128191147,98
"historical--historical--2020--2099","historical",0.21,0.3,0,80,0.6,75,81,98.05,0,0.5,0.1,0.1,18.2864092976728,99
"historical--historical--2020--2100","historical",0.42,0.3,0,73,0,90,96,105.38,0.1,0.3,0.1,0,18.9395097350575,100
"ssp126--ACCESS-CM2--2075--2001","ssp126",0.22,0.13,0,99,0,42,48,67.88,0.1,0.3,0.3,0.35,17.9300671164726,101
"ssp126--ACCESS-CM2--2075--2002","ssp126",0.23,0.14,0,93,0,42,48,72.27,0.2,0.3,0.1,0.1,18.1593325913825,102
"ssp126--ACCESS-CM2--2075--2003","ssp126",0.25,0.51,0,98,0.1,77,88,101.11,0.2,0.4,0.1,0.35,18.745675336052,103
"ssp126--ACCESS-CM2--2075--2004","ssp126",0.44,0.26,0,102,0.1,59,88,76.72,0,0.1,0.2,0.15,19.4364003954006,104
"ssp126--ACCESS-CM2--2075--2005","ssp126",0.26,0.4,0,102,0.1,52,58,78.24,0.2,0.3,0,0.25,17.8246017137157,105
"ssp126--ACCESS-CM2--2075--2006","ssp126",0.17,0.35,0,107,0.2,46,52,74.29,0.4,0.6,0.2,0.35,17.796669870013,106
"ssp126--ACCESS-CM2--2075--2007","ssp126",0.16,0.47,0,96,0.5,42,48,74.36,0.3,0.3,0.2,0.1,17.3244364358553,107
"ssp126--ACCESS-CM2--2075--2008","ssp126",0.26,0.47,0,91,0.1,45,51,70.92,0.2,0.2,0.3,0.6,18.1072403723781,108
"ssp126--ACCESS-CM2--2075--2009","ssp126",0.32,0.43,0,101,0.1,45,63,77.45,0,0.5,0.2,0.25,18.8480508165213,109
"ssp126--ACCESS-CM2--2075--2010","ssp126",0.33,0.26,0,98,0.1,46,98,78.38,0,0.1,0.2,0,19.6525577092554,110
"ssp126--ACCESS-CM2--2075--2011","ssp126",0.19,0.4,0,90,0.1,42,57,64.26,0.2,0.3,0.1,0.5,18.2816383509287,111
"ssp126--ACCESS-CM2--2075--2012","ssp126",0.35,0.53,0,113,0.1,60,66,86.45,0.2,0.3,0.1,0.15,17.9078231656922,112
"ssp126--ACCESS-CM2--2075--2013","ssp126",0,0.21,0,92,0.8,58,64,74.23,0.2,0.4,0,0,17.51494454366,113
"ssp126--ACCESS-CM2--2075--2014","ssp126",0.5,0.57,0,92,0,42,48,69.6,0.5,0.4,0,0.45,17.0994462302884,114
"ssp126--ACCESS-CM2--2075--2015","ssp126",0.3,0.43,0,95,0,55,61,75.53,0,0.4,0.1,0.2,18.1093836709815,115
"ssp126--ACCESS-CM2--2075--2016","ssp126",0.33,0.61,0,114,0,44,50,67.65,0.1,0.5,0,0.35,18.2662322045232,116
"ssp126--ACCESS-CM2--2075--2017","ssp126",0.35,0.48,0,97,0.3,52,71,76.1,0.2,0.2,0.1,0.1,18.3168949117983,117
"ssp126--ACCESS-CM2--2075--2018","ssp126",0.54,0.75,0,121,0,56,62,80.74,0,0.1,0.2,0.2,18.3167982269096,118
"ssp126--ACCESS-CM2--2075--2019","ssp126",0.09,0.27,0,101,0.2,54,60,79.25,0.3,0.1,0.1,0,17.9533434545241,119
"ssp126--ACCESS-CM2--2075--2020","ssp126",0.35,0.36,0,91,0.2,50,76,78.72,0.1,0.3,0.1,0.25,19.1982210285674,120
"ssp126--ACCESS-CM2--2075--2021","ssp126",0.25,0.45,0,102,0,60,66,73.78,0.1,0.1,0.1,0.5,18.9021775159021,121
"ssp126--ACCESS-CM2--2075--2022","ssp126",0.28,0.27,0,111,0.1,42,73,75.67,0,0.2,0,0.55,18.5070470618014,122
"ssp126--ACCESS-CM2--2075--2023","ssp126",0.47,0.48,0,106,0.2,42,48,70.68,0.4,0.5,0.2,0.05,17.8657834501749,123
"ssp126--ACCESS-CM2--2075--2024","ssp126",0.19,0.32,0,110,0.1,44,50,74.73,0,0.3,0,0.1,18.7596455670958,124
"ssp126--ACCESS-CM2--2075--2025","ssp126",0.23,0.44,0,105,0,53,62,72.19,0.2,0.5,0.3,0.6,18.1683838743359,125
"ssp126--ACCESS-CM2--2075--2026","ssp126",0.1,0.33,0,116,0,51,57,80.13,0.1,0.3,0.3,0.15,19.4765303795787,126
"ssp126--ACCESS-CM2--2075--2027","ssp126",0.41,0.44,0,87,0,65,71,89.38,0,0.3,0.1,0.45,19.1742417405078,127
"ssp126--ACCESS-CM2--2075--2028","ssp126",0.34,0.7,0,103,0.2,53,71,77.67,0,0.4,0.1,0.3,18.741824049446,128
"ssp126--ACCESS-CM2--2075--2029","ssp126",0.42,0.51,0,84,0.1,47,53,75.92,0.2,0.2,0.1,0.25,18.5698758821164,129
"ssp126--ACCESS-CM2--2075--2030","ssp126",0.33,0.48,0,103,0,44,50,73.89,0,0.4,0.3,0.6,18.1592819881946,130
"ssp126--ACCESS-CM2--2075--2031","ssp126",0.25,0.57,0,103,0.1,46,77,73.69,0,0.1,0.1,0,18.4160079525611,131
"ssp126--ACCESS-CM2--2075--2032","ssp126",0.22,0.47,0,98,0.1,58,64,83.35,0,0.1,0.3,0,18.8174564652465,132
"ssp126--ACCESS-CM2--2075--2033","ssp126",0.35,0.7,0,106,0.3,70,80,87.27,0,0.2,0.1,0,18.6762245124567,133
"ssp126--ACCESS-CM2--2075--2034","ssp126",0.35,0.21,0,88,0.4,52,58,74.3,0,0.6,0.1,0.5,18.9273042059218,134
"ssp126--ACCESS-CM2--2075--2035","ssp126",0.1,0.43,0,104,0.5,52,58,78.98,0.6,0.1,0.3,0.25,17.0226386981074,135
"ssp126--ACCESS-CM2--2075--2036","ssp126",0.2,0.3,0,100,0,63,69,86.18,0,0.1,0.3,0.05,18.2520879063116,136
"ssp126--ACCESS-CM2--2075--2037","ssp126",0.45,0.69,0,105,0.2,42,79,68.9,0.1,0.4,0.2,0.45,17.7878110274926,137
"ssp126--ACCESS-CM2--2075--2038","ssp126",0.25,0.45,0.2,96,0.2,42,48,71.36,0,0.1,0,0.2,18.3681386664787,138
"ssp126--ACCESS-CM2--2075--2039","ssp126",0.21,0.1,0,101,0.1,42,58,69.88,0.2,0.8,0,0.45,17.49171450242,139
"ssp126--ACCESS-CM2--2075--2040","ssp126",0.67,0.56,0,93,0,42,49,72.78,0.7,0.3,0.2,0.2,17.5495351986932,140
"ssp126--ACCESS-CM2--2075--2041","ssp126",0.4,0.52,0.2,110,0.2,42,50,65.61,0,0.4,0,0.2,17.7363294972437,141
